button,time
'r',2019-10-18 09:06:23.648420
's',2019-10-18 09:06:27.712619
'r',2019-10-18 09:06:30.800176
'r',2019-10-18 09:06:35.440494
's',2019-10-18 09:06:42.439667
'r',2019-10-18 09:06:44.632273
's',2019-10-18 09:06:52.616713
'r',2019-10-18 09:06:53.743822
's',2019-10-18 09:06:58.344462
'r',2019-10-18 09:10:27.980904
'r',2019-10-18 09:12:16.236434
'r',2019-10-18 09:12:31.308839
's',2019-10-18 09:12:43.784791
'r',2019-10-18 09:12:47.103330
's',2019-10-18 09:12:47.663323
'r',2019-10-18 09:12:48.792163
's',2019-10-21 17:36:19.431015
'r',2019-10-21 17:36:19.916235
'r',2019-10-21 17:37:30.813759
's',2019-10-21 17:37:33.724682
'r',2019-10-21 17:37:37.254162
